Genre,Average rating,Books
Poetry,3.53,19
Humor,3.4,10
Young Adult,3.3,54
Historical Fiction,3.24,25
Fiction,3.18,65
Music,3.15,13
Womens Fiction,3.12,17
Fantasy,3.08,48
Sequential Art,2.97,75
Mystery,2.94,32
History,2.94,18
Science,2.93,14
Business,2.92,12
Food and Drink,2.9,30
Nonfiction,2.88,110
Default,2.84,152
Add a comment,2.76,67
Travel,2.73,11
Thriller,2.73,11
Horror,2.71,17
Romance,2.63,35
Childrens,2.62,29
Classics,2.47,19
Science Fiction,2.25,16
Philosophy,2.2,10
